Time (s),CO (ppm),Humidity (%r.h.),Temperature (C),Flow rate (mL/min),Heater voltage (V),R1 (MOhm),R2 (MOhm),R3 (MOhm),R4 (MOhm),R5 (MOhm),R6 (MOhm),R7 (MOhm),R8 (MOhm),R9 (MOhm),R10 (MOhm),R11 (MOhm),R12 (MOhm),R13 (MOhm),R14 (MOhm)
2.833,0.0,218.7354,104.2753,958.8404,1.3502,87.9773,131.0928,166.0079,67.4333,150.4061,169.163,176.0476,160.8182,104.7553,180.0423,180.6816,177.2396,154.4769,199.5623
2.7695,0.0,219.1818,104.4882,959.4774,1.2998,85.5158,129.9982,167.6555,68.3042,151.7356,171.2136,178.4279,164.3316,106.4301,183.9636,184.0491,180.9252,157.397,203.4114
2.4918,0.0,217.8808,103.868,957.8558,1.449,75.5021,114.6478,148.651,61.3045,134.6257,151.7678,159.2137,148.7375,96.9311,166.704,168.5455,167.7658,146.1949,189.2855
3.0201,0.0,219.1554,104.4756,959.3599,1.302,90.0777,133.5129,168.8586,68.6657,152.5137,171.0712,178.2471,164.1999,107.2446,183.7161,184.0945,180.2565,157.2266,203.2871
1.4657,0.0,217.8979,103.8748,958.1943,1.4504,61.0533,103.9303,143.6425,59.7909,132.5259,152.7481,160.5464,147.1374,92.9313,165.9029,167.0658,169.9873,145.9386,188.465
7.1238,0.0,221.7855,105.7479,961.538,0.9857,166.1794,209.8301,235.4537,91.2501,203.4458,218.6072,222.5893,207.056,143.4029,227.4645,225.6253,202.326,183.6792,237.844
26.0551,0.0,223.5531,106.48,961.5937,0.7867,45.7652,44.058,82.2341,86.6175,165.9503,159.8915,170.3256,196.5191,150.6075,215.4157,220.4746,183.67,168.9508,241.2644
45.8154,0.0,222.6888,106.48,960.8313,0.8716,2.2722,1.4773,6.2032,58.89,103.6008,65.6979,92.0804,160.6497,127.1248,181.6048,196.6596,162.2997,144.9756,209.9378
65.5779,0.0,221.385,106.48,960.641,0.5197,12.1581,14.3761,15.08,30.7736,44.8056,29.69,39.2423,163.5474,123.4289,180.4231,197.1564,157.227,140.2309,208.1115
85.3491,0.0,221.36,106.48,960.2968,3.4165,-30.5218,-35.7698,-36.061,-10.6625,-27.5081,-28.6218,-27.9684,-4.7574,-4.7613,-7.9439,-5.1213,-3.1143,-4.902,-3.436
105.1316,0.0,221.36,106.48,959.8688,1.342,151.3083,192.6067,213.0133,81.2181,180.4615,188.9763,193.097,176.0888,124.5591,196.722,195.0954,176.8744,158.5689,204.9212
124.9005,0.0,221.36,106.48,959.5581,0.9027,50.7952,50.0918,90.4059,86.458,166.0535,161.6985,169.9,194.1289,148.1309,210.7598,216.0001,178.2,165.0712,236.3287
144.6792,0.0,221.3599,106.48,959.9786,0.413,15.0366,16.8322,22.4865,66.4933,120.4685,84.4888,109.4357,185.5012,142.0075,206.2406,220.9786,181.6219,161.8088,236.798
